"cell_id","species_richness","total_records","n_families","n_genera","n_orders","sampling_effort"
13,0,0,0,0,0,"Unsampled"
14,10,11,9,10,6,"Medium"
15,0,0,0,0,0,"Unsampled"
16,0,0,0,0,0,"Unsampled"
18,0,0,0,0,0,"Unsampled"
19,0,0,0,0,0,"Unsampled"
20,0,0,0,0,0,"Unsampled"
46,10,10,6,10,5,"Medium"
47,1,1,1,1,1,"Low"
48,23,25,16,22,8,"Medium"
49,26,27,11,20,7,"Medium"
50,0,0,0,0,0,"Unsampled"
51,9,11,6,8,4,"Medium"
52,11,13,7,9,3,"Medium"
53,75,125,41,65,20,"High"
54,62,69,28,49,14,"High"
68,0,0,0,0,0,"Unsampled"
69,1,1,1,1,1,"Low"
70,0,0,0,0,0,"Unsampled"
71,0,0,0,0,0,"Unsampled"
72,0,0,0,0,0,"Unsampled"
74,0,0,0,0,0,"Unsampled"
78,59,88,31,50,8,"High"
79,218,750,92,168,42,"Very High"
80,114,139,44,81,20,"High"
81,61,72,38,50,20,"High"
82,0,0,0,0,0,"Unsampled"
83,16,19,13,15,7,"Medium"
84,2,2,2,2,2,"Low"
85,0,0,0,0,0,"Unsampled"
86,0,0,0,0,0,"Unsampled"
87,0,0,0,0,0,"Unsampled"
101,0,0,0,0,0,"Unsampled"
102,0,0,0,0,0,"Unsampled"
103,0,0,0,0,0,"Unsampled"
104,0,0,0,0,0,"Unsampled"
105,0,0,0,0,0,"Unsampled"
106,0,0,0,0,0,"Unsampled"
107,0,0,0,0,0,"Unsampled"
108,0,0,0,0,0,"Unsampled"
109,35,45,17,29,8,"Medium"
110,9,9,7,8,3,"Low"
111,43,49,28,37,11,"Medium"
112,69,72,36,54,14,"High"
113,0,0,0,0,0,"Unsampled"
114,8,8,8,8,7,"Low"
115,2,2,2,2,2,"Low"
116,1,1,1,1,1,"Low"
117,0,0,0,0,0,"Unsampled"
118,0,0,0,0,0,"Unsampled"
119,0,0,0,0,0,"Unsampled"
134,0,0,0,0,0,"Unsampled"
135,0,0,0,0,0,"Unsampled"
136,0,0,0,0,0,"Unsampled"
137,0,0,0,0,0,"Unsampled"
138,0,0,0,0,0,"Unsampled"
139,0,0,0,0,0,"Unsampled"
140,0,0,0,0,0,"Unsampled"
141,0,0,0,0,0,"Unsampled"
142,0,0,0,0,0,"Unsampled"
143,5,5,4,4,1,"Low"
144,8,8,4,7,3,"Low"
145,0,0,0,0,0,"Unsampled"
146,0,0,0,0,0,"Unsampled"
147,1,1,1,1,1,"Low"
148,0,0,0,0,0,"Unsampled"
149,1,1,1,1,1,"Low"
150,0,0,0,0,0,"Unsampled"
151,0,0,0,0,0,"Unsampled"
168,0,0,0,0,0,"Unsampled"
169,0,0,0,0,0,"Unsampled"
170,0,0,0,0,0,"Unsampled"
171,0,0,0,0,0,"Unsampled"
172,0,0,0,0,0,"Unsampled"
173,0,0,0,0,0,"Unsampled"
174,0,0,0,0,0,"Unsampled"
